Feature ID
X1
X2
X3
X4
X5
X6
X7
X8
X9
X10
X11
X12
X13
X14
X15
X16
X17
X18
X19
X20
X21
X22
X23
X24
X25
X26
X27
X29
X30
X31
X32
X33
X34
X35
X36
X38
X39
X40
X42
X43
X44
X45
X46
X48
X50
X51
X52
X53
X54
X55
X56
X57
X58
X59
X60
X61
X62
X63
X64
X65
X66
X67
X68
X69
X70
X71
X72
X73
X74
X75
X76
X79
X80
X81
X82
X83
X84
X85
X86
X87
X88
X89
X92
X93
X94
X98
X99
X100
X104
X105
X106
X110
X112
X113
X114
X115
X117
X120
X122
X123
X124
X128
X130
X134
X135
X143
X144
X145
X152
X153
X154
X155
X157
X158
X159
X160
X162
X166
X167
X169
X173
X175
X176
X190
X191
X192
X193
X194
X195
X196
X201
X225
X228
X231
X234
X248
X288
X291
X294
X297
X298
X309
X311
X312
X314
X315
X317
X318
X320
X323
X326
X330
X332
X333
X336
X338
X339
X341
X351
X353
X354
X356
X357
X359
X360
X362
X393
X394
X395
X397
X401
X409
X425
X433
